Descricao,Codigo,RET,Validade_RET,IA
CLORPIRIFOS NORTOX EC,,,,CLORPIRIFOS 48%
DEMCAMBA 480 SL,,,,DICAMBA 48%
GRAMANEX,,,,Cyhalofop butyl 18%
GLYFASTER GOLD 60.8 DMA,,,,Glifosato sal Dimetilamina 60.8%
CIAMETOXAM 35,,,,THIAMETHOXAM 35%
UNIZEB GOLD,,,,MANCOZEB 75%
THIAMETHOXAM TC,,,,THIAMETHOXAM 98%
THI-XAM 75 WG,,,,TIAMETOXAM 75%
PILARSTAR ,,,,GLUFOSINATO DE AMONIO 20%
CLETODIM NORTOX,,,,CLETODIM 24%
GRAMITE 48 EC,,,,CLOMAZONE 48%
STRAICK PLUS,,,,THIAMETHOXAM 11.5% + BIFENTRIN 7.5%
ECOTRICH,,,,Trichoderma Harzianum (1 X 10Exp10 ufc/g de producto comercial) 30%
FOSTER 360,,,,CLETODIM 36%
VIGILANT,,,,THIAMETHOXAM 25% + BIFENTRIN 5%
DICLOGROP 84,,,,DICLOSULAM 84%
CLORYMEX,,,,CLORIMURON ETHIL 75%
BAMAKO 35 SC,,,,IMIDACLOPRID 35%
BIFENTRIN 20 AGRO PLUS,,,,BIFENTRIN 20%
BARI,,,,PICOXYSTROBIN 20% + CIPROCONAZOLE 8%
RONAK 325 SC,,,,TRIFLOXISTROBIN 15% + PROTHIOCONAZOLE 17.5%
PIONERO,,,,PIRACLOSTROBINA 25%
INACTIVADOR,,,,FLUMIOXAZIN 50%
SPIREEL,,,,TRIFLOXISTROBIN 15% + PROTHIOCONAZOLE 17.5%
MONITOR,,,,BENZOATO DE EMAMECTINA 10%
SELENIUM ,,,,METOMIL 90%
FLUMIOXAZIN GRADO TÉCNICO,,,,FLUMIOXAZIN 98%
CYPRESS 400 EC,,,,DIFENOCONAZOL 25% + CIPROCONAZOL 15%
BIFENTRIN 20 TIAMETOXAM 30 AGROPLUS,,,,BIFENTRIN 20% + TIAMETOXAM 30%
BENZOATO BULL,,,,EMAMECTINA BENZOATO 10%
CYPROCONAZOLE TÉCNICO,,,,CYPROCONAZOLE 95%
LICARB 80 WG,,,,THIODICARB 80%
TEMPUS,,,,PICOXYSTROBIN 12% + TEBUCONAZOLE 20%
MONARCH,,,,TRIFLOXISTROBIN 15% + PROTHIOCONAZOLE 17.5%
ZAPICAN,,,,SULFENTRAZONE 50%
PICOXOL 20-12,,,,PICOXYSTROBIN 20% + CYPROCONAZOLE 12%
OROMAX TM,,,,D-LIMONENO 15%
ESPLENDOR 800 WG,,,,FIPRONIL 80%
QUANTUM PLUS,,,,CIPROCONAZOLE 12% + AZOXYSTROBIN 20%
AZOXYSTROBIN TECNICO,,,,AZOXYSTROBIN 98%
CYPEREX 75,,,,PYRAZOSULFURON ETHYL 75%
BINGO,,,,CLOTIANIDINA 60%
NAVOX 250 EC ,,,,BIFENTRIN 25%
CLOTHIANIDINA GRADO TECNICO,,,,CLOTHIANIDINA 98%
AC. GIBERELICO (GA3): 91.2%,,,,ACIDO GIBERELICO 91.2%
ELLECT,,,,PYRACLOSTROBIN 3% + METALAXYL-M 1% + FLUDIOXONIL 2.5%
ACIDO 4-INDOL-YLBUTIRICO (IBA): 97%,,,,AC. 4-INDOL-YLBUTIRICO (IBA) 97%
KINETINA: 98%,,,,KINETINA 98%
REGULATOR TM,,,,ACIDO 4-INDOL-3-ILBUTIRICO 0.01% + AC. GIBERELICO (GA3) 0.01% + KINETINA 0.018%
TEFLUBENZURON 30 AGRO PLUS,,,,TEFLUBENZURON 30%
ALIOS 75 WG,,,,MANCOZEB 75%
ALTACOR®,,,,CLORANTRANILIPROLE 35%
LANCER GOLD,,,,ACEFATO 50% + IMIDACLOPRID 5%
CONAZOL 40,,,,CIPROCONAZOLE 40%
CIPROCONAZOLE TC,,,,CIPROCONAZOLE 97%
DINOTEFURAN TECNICO (TC),,,,DINOTEFURAN 99.1%
EURUS ULTRA,,,,DINOTEFURAN 80%
DINOTEFURAN 99.13%,,,,DINOTEFURAN 99.13%
TEFLUBENZURON 75 AGRO PLUS,,,,TEFLUBENZURON 75%
TRAIL,,,,TRICYCLAZOLE 75%
VERNIN,,,,BIFENTRIN 13.33% + DINOTEFURAN 13.33%
MOSSTOP 10 EC,,,,Pyriproxyfen 10%
POLUX CLEAN,,,,Glifosato sal Dimetilamina 68.4%
ATRAZINA SOMAX 900 WG ,,,,ATRAZINA 90%
GLIFOSATO SAL POTASIO 66 AGROPLUS,,,,GLIFOSATO 66% EQUIVALENTE AL ACIDO 54% 66%
BIFENTRIN TÉCNICO,,,,BIFENTRIN 96%
ARGENTO PLUS,,,,PROTIOCONAZOL 17.5% + PICOXISTROBINA 20%
AZOXCY PRO,,,,PROTHIOCONAZOLE 22% + AZOXYSTROBIN 23%
CLETODIM TK,,,,CLETODIM 37%
PIONERO PLUS,,,,PIRACLOSTROBINA 20% + PROTHIOCONAZOLE 20%
PROSPER 27.6 SL,,,,Paraquat Dicloruro 27.6%
APPORT,,,,LAMBDACIALOTRINA 20% + DINOTEFURAN 20%
AGROFENTRIN 20,,,,BIFENTRIN 20%
FULMEN 80 WG,,,,FIPRONIL 80%
PROBAT,,,,TIRAM 20% + CARBOXIN 20%
ANKARA LUF,,,,THIODICARB 40% + LUFENURON 5%
FIPRONIL TC,,,,FIPRONIL 95%
NEMAT,,,,PAECILOMYCES LILACINUS (7.5 X 10EXP9 UFC/G DE PRODUCTO COMERCIAL) 30%
CRIPTON XPRO®,,,,Bixafen 12.5% + TRIFLOXYSTROBIN 15% + PROTHIOCONAZOLE 17.5%
PIRIPROXIFEN GRADO TECNICO,,,,PIRIPROXIFEN 98%
MOSES MAX ,,,,PIRIPROXIFEN 45%
ACTIVADOR,,,,THIAMETHOXAM 75%
TRICHODERMIL WP 1306,,,,TRICHODERMA HARZIANUM (2.0 X 10EXP9 CONIDIOS VIABLES/G) 4.8%
PYRI PANDA 35 ,,,,PIRIPROXIFEN 35%
GÉNESIS GOLD,,,,PICOXYSTROBIN 20% + CIPROCONAZOLE 16%
BILI-MAX 35 EC,,,,Pyriproxyfen 35%
ACETAMIX DÚO,,,,ACETAMIPRID 20% + PIRIPROXIFEN 10%
AGROTOXAM TRIPLE,,,,LAMBDACIALOTRINA 12.5% + TIAMETOXAM 25% + LUFENURON 12.5%
LUFENURON TÉCNICO,,,,LUFENURON 98%
TRIFLOXISTROBIN 98%,,,,TRIFLOXISTROBIN 98%
PROTHIOCONAZOLE 99%,,,,PROTHIOCONAZOLE 99%
ACERO 32.5 SC,,,,TRIFLOXISTROBIN 15% + PROTHIOCONAZOLE 17.5%
CARBENDAZIM SOMAX 500,,,,CARBENDAZIM 50%
TEFLUBENZURON PLANAGRO 750 WP,,,,TEFLUBENZURON 75%
DOBBIN,,,,TRIFLOXYSTROBIN 15% + PROTHIOCONAZOLE 17.5%
LAMITA 25 WP,,,,LAMBDACIALOTRINA 20% + EMAMECTINA BENZOATO 5%
THIRAM TC,,,,THIRAM 98%
TRIFLOXYSTROBIN TECNICO,,,,TRIFLOXYSTROBIN 96%
CARBOXIN TECNICO,,,,CARBOXIN 98%
BOVERIL WP PL 63,,,,Beauveria bassiana (Bals.) Vuill.. cepa PL 63 5%
CORRECTOR H ,,,,ACIDO FOSFORICO 93%
ALFA-K II,,,,ALFA CIPERMETRINA 15% + IMIDACLOPRID 30%
PROTHIOCONAZOLE TECNICO,,,,PROTHIOCONAZOLE 97%
SUPPORT LINK,,,,GLUFOSINATO DE AMONIO 20%
CARBOXI + TH,,,,THIRAM 20% + CARBOXIN 20%
DRAGON 40:10 WG,,,,EMAMECTINA BENZOATO 10% + LUFENURON 40%
MOJAVE 800 WP,,,,MANCOZEB 80%
TITHANO,,,,PROTHIOCONAZOLE 22% + AZOXYSTROBIN 23%
XTERMINADOR ULTRA,,,,BIFENTRIN 40%
BIFENTRIN GRADO TECNICO,,,,BIFENTRIN 98%
ORGLIF MAX,,,,GLIFOSATO SAL MONO POTÁSICO 66.2%
TOTETFLY 100,,,,Pyriproxyfen 10%
VIOVAN™,,,,PICOXYSTROBIN 10% + PROTHIOCONAZOLE 11.67%
APRID 70,,,,ACETAMIPRID 70%
KRIGER,,,,ACEFATO 97%
COLT MAX 300 WG,,,,ABAMECTINA 30%
TEBUGROP 43,,,,TEBUCONAZOLE 43%
TAIJI PLUS,,,,TRIFLOXISTROBIN 15% + PROTHIOCONAZOLE 17.5%
COUGAR 240 EC,,,,CLETHODIM 24%
METARRIL WP E9,,,,METARHIZIUM ANISOPLIAE (METSCH.) SOROK.. CEPA E9 (MINIMO DE 1.39 X 10EXP8 CONIDIOS VIABLES/G) 5%
MANCOZEB 75 CIAGROPA,,,,MANCOZEB 75%
GEOTRIN ,,,,THIAMETHOXAM 30% + BIFENTRIN 20%
ACETRA PLUS,,,,ACEFATO 97%
AMILAN 70 WP,,,,ACETAMIPRID 70%
CHOKE PLUS,,,,THIAMETHOXAM 30% + BIFENTRIN 20%
DHYNO,,,,DINOTEFURAN 80%
CHEROKEE,,,,THIAMETHOXAM 75%
REDUCT-ph TM,,,,ACIDO FOSFORICO 10%
REINIGER,,,,GLIFOSATO ACIDO 75%
CORVUS® 662,,,,GLIFOSATO ACIDO 54%
DINOFURAN 75,,,,DINOTEFURAN 75%
BIFENTHOX,,,,BIFENTRIN 10% + TIAMETOXAM 16%
LAMBDAFUR 25 EC,,,,LAMBDACIALOTRINA 25%
DIAFENTIURON 98%,,,,DIAFENTHIURON 98%
GLYFASTER MAX 88.8 SG,,,,GLIFOSATO SAL DE AMONIO 88.8%
PICOXYSTROBIN 97%,,,,PICOXYSTROBIN 97%
ARGENTO ULTRA,,,,PICOXYSTROBIN 20% + CIPROCONAZOLE 8% + PROTHIOCONAZOLE 12%
TIAXAM 75 WG,,,,TIAMETOXAM 75%
STIMUCONTROL ,,,,TRICHODERMA HARZIANUM. CEPA CCT 7589 0.5%
CIAMETOXAM,,,,THIAMETHOXAM 50%
UNIZEB,,,,MANCOZEB 80%
AGROZEB FLO STK,,,,MANCOZEB 43%
CICLUS 70 WP,,,,ACETAMIPRID 70%
MULTIVOLT,,,,THIAMETHOXAM 15% + BIFENTRIN 10%
TRICE 757 WDG,,,,GLUFOSINATO DE AMONIO 75.7%
TRIFLOXYSTROBIN TECNICO,,,,TRIFLOXYSTROBIN 98%
PROTHIOCONAZOLE TECNICO,,,,PROTHIOCONAZOLE 98%
TRIFLOXYKEM,,,,TRIFLOXYSTROBIN 15% + PROTHIOCONAZOLE 17.5%
INPASA OIL PLUS,,,,Esteres de Ácidos Grasos con Glicerol 81%
LAMBDACIALOTRINA 97%,,,,LAMBDACIALOTRINA 97%
GLUFOSINATO DE AMONIO TECNICO,,,,GLUFOSINATO DE AMONIO 95%
BTCONTROL,,,,BACILLUS THURINGIENSIS VAR. KURSTAKI. CEPA HD - (CCT 1306) 7%
TEFLUBENZURON 750 WP,,,,TEFLUBENZURON 75%
BRABUS 840 WG,,,,DICLOSULAM 84%
DIETHOLATE TECNICO (TC),,,,DIETHOLATE 98%
FINIX 24% EC,,,,CLETODIM 24%
REAPER 750,,,,THIAMETHOXAM 75%
THIAMETHOXAM 98% TC,,,,THIAMETHOXAM 98%
TEBUCONAZOLE SOMAX 430 SC,,,,TEBUCONAZOLE 43%
TRISO,,,,ATRAZINA 90%
CIALOTRINE 10 EC,,,,LAMBDACIALOTRINA 10%
ATRAZINA 90 DVA,,,,ATRAZINA 90%
QUANTUM,,,,CIPROCONAZOLE 8% + AZOXYSTROBIN 20%
LUCRO,,,,BIFENTRIN 10%
TRICE 200 SL,,,,GLUFOSINATO DE AMONIO 20%
FIPROGROP,,,,FIPRONIL 25%
HULK,,,,PICOXISTROBIN 20% + CIPROCONAZOLE 8%
GLIFOGROP FULL DMA,,,,Glifosato sal Dimetilamina 60.8%
ZINEX,,,,FLUMIOXAZIN 48%
AMISTAR FULL,,,,DIFENOCONAZOLE 20% + THIAMETHOXAM 10% + AZOXYSTROBIN 30%
VENOM,,,,Chlorfenapyr 24%
CHLORFENAPYR GRADO TECNICO (TC),,,,Chlorfenapyr 98%
GRAN MURALLA,,,,METSULFURON METIL 60%
MEGATHON PLUS,,,,EMAMECTINA BENZOATO 10% + LUFENURON 40%
GLIFOTEC GOLD SL,,,,GLIFOSATO SAL DIMETILAMINA (EQUIVALENTE A GLIFOSATO ÁCIDO 48%) 60.8%
TRIUMPH COMBI,,,,PICOXISTROBIN 20% + PROTHIOCONAZOLE 17.5%
QUANTUM TOP,,,,AZOXYSTROBIN 20% + TEBUCONAZOLE 20%
FENT 200 EC,,,,BIFENTRINA 20%
TEMPLIER 75 WG,,,,NICOSULFURON 75%
AGROSTAR 50 WG,,,,AZOXYSTROBIN 50%
AGROSTAR 250 SC,,,,AZOXYSTROBIN 25%
SULFOSATO FULL DMA,,,,Glifosato sal Dimetilamina 60.8%
TOOLER,,,,CLOMAZONE 48%
AK-700,,,,ACIDO PROPIONICO 35% + LECITINA DE SOJA 35%
PROTERA 800 WDG,,,,DINOTEFURAN 80%
AGRONAZOL 43,,,,TEBUCONAZOLE 43%
TEBUCONAZOLE TC ,,,,TEBUCONAZOLE 97%
FLUDIOXONIL 95%,,,,FLUDIOXONIL 95%
METALAXYL-M 92%,,,,METALAXYL-M 92%
COVERSEEDS,,,,METALAXYL-M 3.75% + FLUDIOXONIL 2.5%
ARIETE PROTEC,,,,DIETHOLATE 80%
FLUROXYM 480 EC,,,,FLUROXYPYR MEPTYL 48%
REAPER 700,,,,ACETAMIPRID 70%
NEMACONTROL,,,,BACILLUS AMYLOLIQUEFACIENS AISLADO-SIMBI BS (CCT 7600) 5x10exp9 3%
AK-800,,,,COPOLIMERO DE POLIETER Y SILICONA. HEPTAMETILTRISILOXANO POLIALQUIL-ENOXIDO MODIFICADO CON ÉTER METIL ALILOPOLIETILENGICOL 100%
PIRIPROXIFEN PRIME,,,,PIRIPROXIFEN 35%
DINOTEFURAN TÉCNICO,,,,DINOTEFURAN 99.1%
ÁCIDO GIBERELICO 90%,,,,ACIDO GIBERELICO 90%
DINOKEM,,,,DINOTEFURAN 80%
SUPER DIM,,,,CLETHODIM 24%
PAKIR UNO,,,,EMAMECTINA BENZOATO 10%
PRONTO,,,,PENOXSULAM 24%
TEMPANO GOLD,,,,LAMBDACIALOTRINA 2% + BIFENTRINA 4% + IMIDACLOPRID 20%
AZOXYSTROBIN TC,,,,AZOXYSTROBIN 98%
TEBUCONAZOLE 43 AGRO PLUS,,,,TEBUCONAZOLE 43%
FAETHON,,,,TRIFLOXYSTROBIN 15% + PROTHIOCONAZOLE 17.5%
TEFLUBENZURON TÉCNICO,,,,TEFLUBENZURON 98%
CLEANNER ,,,,TEFLUBENZURON 30%
FICHEN TRIO 300 FS,,,,METALAXYL-M 2.5% + FLUDIOXONIL 2.5% + FIPRONIL 25%
FUEL MAXX,,,,"2.4-D 20% + GLIFOSATO SAL DE AMONIO 55%"
ALCHEMY PLUS 800 WG,,,,CIPROCONAZOL 30% + AZOXISTROBINA 50%
FIPRONIL 98% TC,,,,FIPRONIL 98%
ORIUM,,,,TEFLUBENZURON 40% + EMAMECTINA BENZOATO 10%
AGROMECTINA 1.8% EC,,,,ABAMECTINA 1.8%
FLUROXYPYR TAFIREL,,,,FLUROXYPYR MEPTYL 48%
WEEDCLEAR FULL,,,,FLUROXIPIR MEPTIL 48%
SOLY OIL METIL,,,,ESTERES METILICOS DE ÁCIDOS GRASOS DE ACEITE VEGETAL 76%
DIQUAT 20% SOMAX,,,,DIQUAT (EQUIVALENTE A DIQUAT DIBROMURO 37.3%) 20%
REAPER 100,,,,BENZOATO DE EMAMECTINA 10%
HALAXY FULL,,,,HALOXIFOP - P - METIL 54%
LUFOMECTINA,,,,LUFENURON 40% + BENZOATO DE EMAMECTINA 10%
FUEL,,,,"2.4-D DIMETILAMINA 80.6%"
LUFENURON TECNICO,,,,LUFENURON 98%
HOOLIGAN,,,,CARFENTRAZONE ETHYL 40%
CARFENTRAZONE ETHYL GRADO TECNICO ,,,,CARFENTRAZONE ETHYL 96%
PROPICONAZOLE SOMAX 500,,,,PROPICONAZOLE 50%
AGROMARCH 5 EC,,,,LUFENURON 5%
CLETOGROP 24 EC,,,,CLETODIM 24%
BENZOATO DE EMAMECTINA TECNICO,,,,BENZOATO DE EMAMECTINA 95%
AGROSTAR MIX 28 SC,,,,CYPROCONAZOLE 8% + AZOXYSTROBIN 20%
HOLISHI 50,,,,Pyriproxyfen 50%
BOVERIA - TURBO,,,,BEAUVERIA BASSIANA IBCB 66; 1.9 X 10EXP9 UFC/G 5%
BELKER 840 WG,,,,CLORANSULAM METIL 84%
ATRAPLEX 90 WDG,,,,ATRAZINA 90%
KOSPI SC,,,,BIFENTRINA 3% + IMIDACLOPRID 10%
PYRIFEN 350 EC,,,,Pyriproxyfen 35%
MAGIRUS 500 FS,,,,ABAMECTINA 50%
AKTRAZEB 75,,,,MANCOZEB 75%
AMPERE FS,,,,CLOTHIANIDIN 60%
PROTHIOCONAZOLE 98% GT,,,,PROTHIOCONAZOLE 98%
TRIFLOXYSTROBIN 98% GT,,,,TRIFLOXYSTROBIN 98%
ACTION ,,,,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE DE SOJA 76.6%
PYKABRIO 25 SC,,,,PYRACLOSTROBIN 25%
VORAZ 120 EC,,,,QUIZALOFOP P TEFURIL 12%
ARRAKIS,,,,BENZOATO DE EMAMECTINA 10%
BENZOATO DE EMAMECTINA 95%,,,,BENZOATO DE EMAMECTINA 95%
ONLY 60 TS,,,,THIAMETHOXAM 60%
AGROBESTA 20 SL,,,,GLUFOSINATO DE AMONIO 20%
FIPRENTE TOP,,,,FIPRONIL 80%
MSMA 790 SL,,,,MSMA 79%
MANCOZEB GRADO TÉCNICO,,,,MANCOZEB 90%
MSMA TECNICO (TC),,,,MSMA P/P 57.7% + MSMA P/V 96%
TRICLOPYR BUTOXY ETHYL ESTER 97%,,,,TRICLOPYR BUTOXY ETHYL ESTER 97%
"2.4D SOMAX",,,,"2.4-D SAL DIMETILAMINA 86%"
FOXTROT,,,,DIFENOCONAZOLE 12.5% + PROTHIOCONAZOLE 15% + AZOXYSTROBIN 23%
DIFEBRIO 30 SC,,,,PIRACLOSTROBIN 8% + DIFENOCONAZOLE 22%
BIFENTHRIN TÉCNICO,,,,BIFENTRIN 98%
CYPROCONAZOLE TÉCNICO,,,,CYPROCONAZOLE 98%
XAOLIN,,,,THIAMETHOXAM 22% + LAMBDACIALOTRINA 16%
SUPER 2 PLUS,,,,SIMAZINA 45% + ATRAZINA 45%
TRIGGER SEEDS 350 FS,,,,TIAMETOXAM 35%
PYCLO TOP,,,,PYRACLOSTROBIN 25%
KUNFU ,,,,LAMBDACIALOTRINA 25%
CLE TOP,,,,CLETODIM 24%
PROPANIL GRADO TÉCNICO,,,,PROPANIL 98%
TIOBENCARB GRADO TÉCNICO,,,,TIOBENCARB 97%
HERBIRICE,,,,TIOBENCARB 40% + PROPANIL 20%
AGROSOLAR 10 EC,,,,BIFENTRIN 10%
IMIDACLOPRID TÉCNICO,,,,IMIDACLOPRID 98%
DINO - MAX 80WG,,,,DINOTEFURAN 80%
DELTAMAX 25 EC,,,,DELTAMETRINA 2.5%
DELTAMETRINA GRADO TÉCNICO,,,,DELTAMETRINA 98.5%
PENSKE 300 WP,,,,PYRIPROXIFEN 30%
LOOP,,,,Clorotalonil 720 72%
CENTELLA 24 EC,,,,CLETODIM 24%
KALAHARI 36 EC,,,,ABAMECTINA 3.6%
PEGASO 84 WG,,,,DICLOSULAM 84%
TEFLUQUIT,,,,TEFLUBENZURON 30%
PROTHIOCONAZOLE TÉCNICO,,,,PROTHIOCONAZOLE 98%
AGROHEAD 25 SC,,,,PYRACLOSTROBIN 25%
RAINQUAT PLUS,,,,PARAQUAT DICLORURO 27.6% EQUIVALENTE A PARAQUAT 20% + DIURON 10%
META TURBO,,,,METARHIZIUM ANISOPLIAE (METSCH) CEPA IBCB 425 5.0 X 10EXP9 30%
XELEX,,,,CLETODIM 24%
PARAQUAT DICLORURO 50% TK,,,,Paraquat Dicloruro 50%
VANTAGE 200 SL,,,,GLUFOSINATO DE AMONIO 20%
PYRAZOLE TOP,,,,EPOXYCONAZOLE 5% + PYRACLOSTROBIN 13.3%
COUGAR 360 EC,,,,CLETODIM 36%
CAYENNE 60 FS,,,,IMIDACLOPRID 60%
BIOFUNG,,,,PHYSCIÓN 0.8%
AFFIRM 19.5 EC,,,,ACETAMIPRID 14% + ABAMECTINA 1.5% + BIFENTRIN 4%
AGROFORCE 20 SC,,,,FIPRONIL 20%
MANCOZEB 75 AGROFRIENDS,,,,MANCOZEB 75%
TEBUCONAZOLE TÉCNICO,,,,TEBUCONAZOLE 98%
BESTCURE,,,,EXTRACTO BOTÁNICO DE CITRUS RETICULATA Y CITRUS AURANTIUM 43%
PURETE,,,,MANCOZEB 75%
WEEDEX MAX,,,,"2.4-D 72%"
S-METOLACLOR PROQUIMUR,,,,S-Metolachlor 96%
COSMIC DÚO,,,,HALOXIFOP - P - METIL 5% + CLETODIM 20%
LEGGERA 960 SG,,,,"2.4-D SAL DIMETILAMINA 96%"
BUTOXI+DELTA PRIME,,,,BUTOXIDO DE PIPERONILO 22.5% + DELTAMETRINA 2.5%
ORGATRINE,,,,MATRINE 0.6%
CARBENDAZIM TECNICO,,,,CARBENDAZIM 98%
OREGON 500 ME,,,,PROPICONAZOL 50%
HALOXIFOP-P-METIL TÉCNICO TC,,,,HALOXIFOP - P - METIL 97%
IMAZETAPYR TÉCNICO,,,,IMAZETAPYR 98%
SIOUX,,,,GLUFOSINATO DE AMONIO 50%
ATECTRA ® BV,,,,SAL DE DIGLICOLAMINA DE DICAMBA (EQUIVALENTE A DICAMBA ÁCIDO 48%) 70.8%
AGROLOX 12.5 EC,,,,HALOXYFOP-P-METIL 12.5%
CLEANUP 30 SL ,,,,IMAZETAPIR 30%
BETHAMAX ULTRA,,,,BETA CIFLUTRIN 9% + IMIDACLOPRID 21%
FADO,,,,PICOXYSTROBIN 20% + CIPROCONAZOLE 8%
DICAMBA DGA ATANOR,,,,DICAMBA (SAL DE DIGLICOLAMINA) EQUIVALENTE A 48% DE DICAMBA ÁCIDO 70.8%
PROFICE,,,,PIRIPROXYFEN 30%
NV-NO VOLATIL,,,,"2.4 D(MEZCLA DE SALES AMINAS. EQUIVALENTE A ÁCIDO 2.4 D 60%) 80.4%"
AGROBAC 400 SC,,,,BISPIRIBAC SODICO 40%
AGROPICO 24.7 SC,,,,LAMBDACIALOTRINA 10.6% + TIAMETOXAM 14.1%
CARBENDAZIM TÉCNICO,,,,CARBENDAZIM 98%
HALOXYFOP-P-METIL 97%,,,,HALOXYFOP-P-METIL 97%
EMAMECTIN NORTOX,,,,BENZOATO DE EMAMECTINA 5%
PICOCY 280 AGROFRIENDS,,,,PICOXYSTROBIN 20% + CIPROCONAZOLE 8%
SAKURA,,,,FIPRONIL 25%
TEFLUBENZURON 97.4%,,,,TEFLUBENZURON 97.4%
KAOS DMA 80 SG,,,,GLIFOSATO SAL DE DIMETILAMINA (EQUIVALENTE ÁCIDO GLIFOSATO 63.62%) 80%
EMPERADOR,,,,FIPRONIL 80%
GLYFASTER PLUS 750 SG,,,,"2.4-D SAL DE SODIO 20% + GLIFOSATO SAL DE AMONIO 55%"
KRAZ SC,,,,IMIDACLOPRID 60%
FOX DUO,,,,TRIFLOXYSTROBIN 15% + PROTHIOCONAZOLE 17.5%
ENCLAVE,,,,ALCOHOL ETOXILADO 10% + LATEX SINTETICO 45%
DEVAST,,,,PICLORAM 24%
PHANTOM 307 EC ,,,,PROTIOCONAZOL 11.2% + PIRACLOSTROBINA 12.5% + CIPROCONAZOL 7%
TEFLUMAX 80 WG,,,,TEFLUBENZURON 80%
TEFLUBENZURON GRADO TÉCNICO,,,,TEFLUBENZURON 97%
AGROFICOL 48 EC,,,,PROPANIL 48%
BIFENTRIN 250 AGROFRIENDS,,,,BIFENTRIN 25%
TRIPRO 325 AGROFRIENDS,,,,TRIFLOXYSTROBIN 15% + PROTHIOCONAZOLE 17.5%
SUPER MET,,,,METSULFURON METIL 60%
METAMIFOP TAFIREL,,,,METAMIFOP 20%
ACETA FORTE,,,,ACETAMIPRID 75%
SUPER THIA,,,,THIAMETHOXAM 75%
PROTEUS GOLD,,,,PICOXYSTROBIN 20% + TEBUCONAZOL 20%
AGROXAM 25 WDG,,,,THIAMETHOXAM 25%
EDITION 80,,,,DINOTEFURAN 80%
KRAZ FS,,,,IMIDACLOPRID 60%
ACETAMIX SÚPER DF,,,,ACETAMIPRID 56% + PIRIPROXIFEN 24%
PYCLOREX,,,,PICLORAM SAL POTÁSICA 27.8%
BLINDAJE GOLD ,,,,THIODICARB 36% + THIAMETHOXAM 12%
FOXTROT SUPER DF,,,,PICOXISTROBIN 28% + DIFENOCONAZOLE 30% + PROTHIOCONAZOLE 25%
PARACAMPO-ZEB 80 WP,,,,MANCOZEB 80%
FRENO EC,,,,CLETODIM 24%
DEFENSIS GOLD,,,,PICOXYSTROBIN 20% + PROTHIOCONAZOLE 17.5%
SUPER D,,,,"2.4 D SAL AMINA 72%"
APACHE,,,,PICOXYSTROBIN 20% + PROTHIOCONAZOLE 17.5%
ODISSEY 290 SC,,,,PROTIOCONAZOL 13% + PIRACLOSTROBINA 8% + AZOXISTROBINA 8%
BENZOATO 100 AGROFRIENDS,,,,BENZOATO DE EMAMECTINA 10%
RAFALE 374 SL,,,,DIQUAT DIBROMURO EQUIVALENTE A DIQUAT 20% 37.4%
MINUAN,,,,TRIFLOXISTROBIN 15% + PROTHIOCONAZOLE 17.5%
STINGER,,,,BIFENTRIN 10% + DINOTEFURAN 20%
AGROFLEX 250 SL,,,,FOMESAFEN 25%
FENAZAQUIN TECNICO TC,,,,Fenazaquin 97.5%
VERSATILIS ™,,,,FENPROPIMORF 75%
FISKER 750 WG,,,,Clorotalonil 720 75%
CAMPO MIDA 70 WDG,,,,IMIDACLOPRID 70%
TIAMETOXAM NORTOX,,,,THIAMETHOXAM 25%
CORVUS® 608,,,,GLIFOSATO SAL DIMETILAMINA (EQUIVALENTE A GLIFOSATO ÁCIDO 48%) 60.8%
SUPER D DMA,,,,"2.4-D DIMETILAMINA 86%"
PILATUS GOLD,,,,PROTHIOCONAZOLE 22% + AZOXYSTROBIN 23%
MINCAR 500 ,,,,CARBENDAZIM 50%
BALLVERIA,,,,BEAUVERIA BASSIANA (1X10EXP9 UFC/G DEL PRODUCTO COMERCIAL) 30%
ECOSWING,,,,EXTRACTO DE LIMÓN 96.7%
ECOA-Z,,,,EXTRACTO DE AJO 98%
KAMIKAZE,,,,AZOXYSTROBIN 12% + TEBUCONAZOLE 20%
PICUFINIL 800,,,,FIPRONIL 80%
METALAXYL GRADO TECNICO,,,,METALAXYL 96%
AZOXCY TRIPLE,,,,PROPICONAZOLE 20% + CYPROCONAZOLE 5% + AZOXYSTROBIN 12.5%
MORFEU,,,,TRICLOPIR BUTOXI ETIL ESTER 66.74%
TRICLOPYR BUTOXY ETHYL ESTER GRADO TECNICO (TC),,,,TRICLOPYR BUTOXI ETIL ESTER 97%
ULTINATE ,,,,GLUFOSINATO DE AMONIO 80%
IMPETUS 95 WG,,,,ACEFATO 95%
ACEFATO 97 AGRO PLUS,,,,ACEFATO 97%
MICROGLIF K,,,,GLIFOSATO POTASICO 66.2%
POWER PLUS II,,,,GLIFOSATO DE SAL AMONICO Y POTASICO (EQUIVALENTE A GLIFOSATO ACIDO 54%) 64.5%
MONTANA 690 SG,,,,DICLORURO DE PARAQUAT 69%
BUENA COSECHA,,,,"2.4-D SAL DIMETILAMINA 72%"
ATROCIOUS,,,,CLETODIM 24%
PREMIUN 60 SC,,,,IMIDACLOPRID 60%
